//Time periods
//[0;0.2l0); [0.2l0, 0.4l0); [0.4l0, 0.6l0); [0.6l0, 0.8l0); and [0.8l0, l0]. 
0.2;0.4;0.6;0.8;1
//A1 
1.00;1.60;1.05;1.60;1.0
//A2
1.00;2.00;1.50;2.00;1.00 
//A3
1.00;2.50;1.75;2.50;1.00
//B1
1.60;1.00;1.05;1.00;1.60
//B2
2.00;1.00;1.50;1.00;2.00 
//B3
2.50;1.00;1.75;1.00;2.50
//C1
1.60;1.60;1.05;1.00;1.00
//C2
2.00;2.00;1.50;1.00;1.00
//C3
2.50;2.50;1.75;1.00;1.00
//D1
1.00;1.00;1.05;1.60;1.60
//D2
1.00;1.00;1.50;2.00;2.00
//D3
1.00;1.00;1.75;2.50;2.50
//VRPTW 
1.00;1.00;1.00;1.00;1.0
